,rates
AED,4.312862
AFN,100.395559
ALL,121.35499
AMD,569.410341
ANG,2.108906
AOA,724.536891
ARS,115.473433
AUD,1.613084
AWG,2.114169
AZN,1.981066
BAM,1.950195
BBD,2.372245
BDT,100.200058
BGN,1.950899
BHD,0.442467
BIF,2343.727066
BMD,1.174212
BND,1.581331
BOB,8.112558
BRL,6.262662
BSD,1.174905
BTC,2.4725512000000002e-05
BTN,86.384879
BWP,13.054278
BYN,2.919962
BYR,23014.554357
BZD,2.368257
CAD,1.493768
CDF,2341.378126
CHF,1.092281
CLF,0.03323
CLP,916.912723
CNY,7.590346
COP,4500.754431
CRC,733.919242
CUC,1.174212
CUP,31.116617
CVE,110.551413
CZK,25.346774
DJF,209.155617
DKK,7.436097
DOP,66.62443
DZD,160.374048
EGP,18.457906
ERN,17.618996
ETB,53.837595
EUR,1.0
FJD,2.451167
FKP,0.848345
GBP,0.853576
GEL,3.645979
GGP,0.848345
GHS,6.986651
GIP,0.848345
GMD,60.495261
GNF,11477.921699
GTQ,9.08774
GYD,245.799729
HKD,9.137829
HNL,28.473977
HRK,7.506617
HTG,113.963687
HUF,353.151286
IDR,16748.430959
ILS,3.7633609999999997
IMP,0.848345
INR,86.409791
IQD,1713.762351
IRR,49540.002593
ISK,151.391019
JEP,0.848344
JMD,174.646336
JOD,0.8325579999999999
JPY,129.185037
KES,129.339866
KGS,99.546402
KHR,4802.526344
KMF,491.58362
KPW,1056.790778
KRW,1384.877151
KWD,0.353261
KYD,0.9790709999999999
KZT,499.735946
LAK,11278.305625
LBP,1794.196239
LKR,234.3896
LRD,201.288133
LSL,17.120378
LTL,3.467143
LVL,0.7102689999999999
LYD,5.295567
MAD,10.538602000000001
MDL,20.707363
MGA,4564.749711
MKD,61.437468
MMK,2144.167042
MNT,3333.866957
MOP,9.420079
MRO,419.193467
MUR,50.144176
MVR,18.08468
MWK,951.112253
MXN,23.4556
MYR,4.898229
MZN,74.938445
NAD,17.120079
NGN,483.458745
NIO,41.226199
NOK,10.165476
NPR,138.215607
NZD,1.668437
OMR,0.452071
PAB,1.174905
PEN,4.831295
PGK,4.150821
PHP,58.693011
PKR,196.973709
PLN,4.58653
PYG,8107.272947
QAR,4.275284
RON,4.9485969999999995
RSD,117.241216
RUB,85.403365
RWF,1171.276427
SAR,4.403576
SBD,9.461876
SCR,15.002384
SDG,517.827669
SEK,10.176508
SGD,1.582959
SHP,1.617359
SLL,12276.385837
SOS,686.91424
SRD,25.025993
STD,24303.816785
SVC,10.280294
SYP,1476.498992
SZL,17.120217
THB,39.097703
TJS,13.322603
TMT,4.121484
TND,3.289556
TOP,2.6414489999999997
TRY,10.139778
TTD,7.976551
TWD,32.58614
TZS,2724.556861
UAH,31.334056
UGX,4147.315775
USD,1.174212
UYU,50.126154
UZS,12552.325492
VEF,251082003837.41022
VND,26753.691618
VUV,131.079314
WST,3.006357
XAF,654.066986
XAG,0.052407999999999996
XAU,0.0006709999999999999
XCD,3.173366
XDR,0.825614
XOF,651.687279
XPF,119.622884
YER,294.550495
ZAR,17.252351
ZMK,10569.31725
ZMW,19.238707
ZWL,378.095771
